round,client,n_train_samples,local_train_loss,local_test_accuracy,local_test_precision,local_test_recall,local_test_f1,local_test_f1_micro,local_test_f1_per_class,local_test_auc,size_weight,performance_weight,adaptive_weight
1,0,3744,1.1283220331383566,0.22061289846897125,0.12614171717849818,0.9226690294438387,0.2164521461976958,0.23996431757359502,"[0.35758106923751093, 0.15732546705998032, 0.3886500429922614, 0.4331103678929766, 0.22537878787878787, 0.24719101123595505, 0.09164969450101833, 0.22537878787878787, 0.24551463644948066, 0.2099290780141844, 0.126, 0.12108559498956159, 0.20153550863723607, 0.0]",0.5897330780771662,0.25,0.24799729674921916,0.24919891869968766
1,1,3744,1.1069793966081407,0.21199877560138702,0.12145973822125086,0.9192402425161045,0.208351904716755,0.2335582412693705,"[0.3546971027216857, 0.14638971315529178, 0.411864406779661, 0.4172297297297297, 0.22369668246445498, 0.27121771217712176, 0.0720164609053498, 0.23374175306314798, 0.21455938697318008, 0.12173913043478261, 0.12036108324974924, 0.11928934010152284, 0.21012416427889208, 0.0]",0.5939495853842435,0.25,0.2515562650108581,0.2506225060043432
1,2,3744,1.1250492683333209,0.19804848730564117,0.1253318308647416,0.9285714285714286,0.2150472618896704,0.23790205737467401,"[0.3267857142857143, 0.1627450980392157, 0.4064625850340136, 0.44867549668874174, 0.2632066728452271, 0.2387218045112782, 0.09164969450101833, 0.21863117870722434, 0.23040604343720492, 0.16112789526686808, 0.15369458128078817, 0.12974051896207583, 0.17881438289601556, 0.0]",0.5884810461592983,0.25,0.24694539398586973,0.2487781575943479
1,3,3744,1.1336528331296056,0.20536667108535767,0.12444064851171195,0.9244306418219461,0.21312250195575447,0.23723108444314356,"[0.35758106923751093, 0.14271555996035679, 0.39692044482463645, 0.44739022369511183, 0.25512104283054005, 0.22873345935727787, 0.0720164609053498, 0.23540489642184556, 0.21863117870722434, 0.14705882352941177, 0.14271555996035679, 0.13101330603889458, 0.2084130019120459, 0.0]",0.5962410745166649,0.25,0.25350104425405307,0.25140041770162125
2,0,3744,1.114066447202976,0.19911572337150574,0.1239110195593435,0.9285714285714286,0.21293505907933954,0.23581611870817573,"[0.35758106923751093, 0.15732546705998032, 0.3886500429922614, 0.4331103678929766, 0.22537878787878787, 0.24719101123595505, 0.09164969450101833, 0.22537878787878787, 0.24554826616682288, 0.15873015873015872, 0.126, 0.12301166489925769, 0.20153550863723607, 0.0]",0.5972525989686751,0.25,0.25997460033402015,0.25398984013360804
2,1,3744,1.1022122819199522,0.19911572337150574,0.12095022166623991,0.9261083743842364,0.20750576624140177,0.23123079174593883,"[0.3546971027216857, 0.14638971315529178, 0.411864406779661, 0.4172297297297297, 0.22369668246445498, 0.27121771217712176, 0.0720164609053498, 0.23374175306314798, 0.21353670162059105, 0.12375690607734807, 0.12036108324974924, 0.10644831115660185, 0.21012416427889208, 0.0]",0.575016944415714,0.25,0.24097728538490798,0.2463909141539632
2,2,3744,1.1127646451322442,0.21885958313941956,0.12681946259574833,0.922184065934066,0.2175078457428695,0.24202973592721355,"[0.3267857142857143, 0.1627450980392157, 0.4064625850340136, 0.44867549668874174, 0.2632066728452271, 0.2387218045112782, 0.09164969450101833, 0.21863117870722434, 0.23040604343720492, 0.16205128205128205, 0.15369458128078817, 0.16326530612244897, 0.17881438289601556, 0.0]",0.5995532076874117,0.25,0.26198129488616756,0.254792517954467
2,3,3744,1.1170945615849943,0.2022411972284317,0.12411785065173973,0.9229910714285714,0.2125623328320719,0.23641006931776723,"[0.35758106923751093, 0.14271555996035679, 0.39692044482463645, 0.44739022369511183, 0.25512104283054005, 0.22873345935727787, 0.0720164609053498, 0.23540489642184556, 0.21863117870722434, 0.13897280966767372, 0.14271555996035679, 0.13125695216907676, 0.2084130019120459, 0.0]",0.5703323094762991,0.25,0.2370668193949043,0.24482672775796172
3,0,3744,1.1100210231593532,0.21268485486507416,0.1251292213381218,0.9249999999999999,0.21488269245732877,0.23846040407019614,"[0.35789473684210527, 0.15732546705998032, 0.3889845094664372, 0.4331103678929766, 0.22537878787878787, 0.2469597754911132, 0.09164969450101833, 0.22537878787878787, 0.2464722483537159, 0.18581907090464547, 0.126, 0.12184873949579832, 0.20153550863723607, 0.0]",0.5988374759500049,0.25,0.2561310634688731,0.25245242538754925
3,1,3744,1.0919614002745375,0.21123646199703217,0.12175597412286988,0.9221295945433877,0.20886565168769256,0.233612325012962,"[0.3546971027216857, 0.14638971315529178, 0.411864406779661, 0.4172297297297297, 0.22369668246445498, 0.27121771217712176, 0.0720164609053498, 0.23374175306314798, 0.21374045801526717, 0.1445466491458607, 0.12036108324974924, 0.1044932079414838, 0.21012416427889208, 0.0]",0.5962669186286723,0.25,0.2539368572255483,0.2515747428902193
3,2,3744,1.1066952195432451,0.19743862748146057,0.12527746559708014,0.9285714285714286,0.21495528078776266,0.23776426295974515,"[0.3267857142857143, 0.1627450980392157, 0.4064625850340136, 0.44867549668874174, 0.2632066728452271, 0.2387218045112782, 0.09164969450101833, 0.21863117870722434, 0.23040604343720492, 0.15984015984015984, 0.15369458128078817, 0.12974051896207583, 0.17881438289601556, 0.0]",0.588730623704226,0.25,0.2475583412773346,0.24902333651093383
3,3,3744,1.111956240835353,0.21321848034858704,0.12887248082850788,0.9537719979296065,0.22046637981749442,0.23869587666887954,"[0.35758106923751093, 0.1444332998996991, 0.39692044482463645, 0.44776119402985076, 0.25512104283054005, 0.22873345935727787, 0.0720164609053498, 0.23540489642184556, 0.21863117870722434, 0.21746880570409982, 0.14271555996035679, 0.14418604651162792, 0.2084130019120459, 0.017142857142857144]",0.5825331239834466,0.25,0.24237373802824397,0.24694949521129758
4,0,3744,1.1054582256027776,0.2169537991285324,0.12541342460476623,0.9261083743842364,0.21549322391233372,0.23967431532198372,"[0.35758106923751093, 0.15732546705998032, 0.3886500429922614, 0.4331103678929766, 0.22537878787878787, 0.24812030075187969, 0.09164969450101833, 0.22537878787878787, 0.24531835205992508, 0.15888778550148958, 0.126, 0.15796897038081806, 0.20153550863723607, 0.0]",0.6222474773911266,0.25,0.2587078281673853,0.2534831312669541
4,1,3744,1.085610339529494,0.20788230001926422,0.12148032636413511,0.9244505494505494,0.20841866901468661,0.23307993209830985,"[0.3546971027216857, 0.14638971315529178, 0.411864406779661, 0.4172297297297297, 0.22369668246445498, 0.27121771217712176, 0.0720164609053498, 0.23507109004739338, 0.21353670162059105, 0.12314225053078556, 0.12036108324974924, 0.11750599520383694, 0.21113243761996162, 0.0]",0.6146057989264965,0.25,0.2523925828607111,0.2509570331442844
4,2,3744,1.1018068664094323,0.2325049489736557,0.1283039958380386,0.9177087357579762,0.2197993046507539,0.24459783913565425,"[0.3267857142857143, 0.1627450980392157, 0.4064625850340136, 0.44867549668874174, 0.2590866728797763, 0.24705882352941178, 0.09164969450101833, 0.21863117870722434, 0.23040604343720492, 0.15888778550148958, 0.15369458128078817, 0.18124006359300476, 0.19186652763295098, 0.0]",0.6143861214675498,0.25,0.25221219064000755,0.25088487625600303
4,3,3744,1.107745697050013,0.2090257704257965,0.12528287529717358,0.9254658385093169,0.2145337648233528,0.2381791483113069,"[0.35758106923751093, 0.14271555996035679, 0.39692044482463645, 0.44739022369511183, 0.25512104283054005, 0.22873345935727787, 0.0720164609053498, 0.23540489642184556, 0.2222222222222222, 0.16520650813516896, 0.14271555996035679, 0.12903225806451613, 0.2084130019120459, 0.0]",0.5951767088409045,0.25,0.23668739833189603,0.2446749593327584
