round,global_accuracy,global_precision,global_recall,global_f1,global_f1_micro,global_f1_per_class,global_auc,best_threshold,best_f1_macro,mean_client_accuracy,std_client_accuracy,global_weight_drift_l2
1,0.075396828353405,0.07539682539682538,1.0,0.13399411693518667,0.14022140221402213,"[0.2256420921285224, 0.07989197704512209, 0.3073667504298373, 0.3842949122585532, 0.12538450270982862, 0.11870199551651905, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.069756042381509, 0.08190640338716325, 0.03342168952402904, 0.0854930999663413, 0.0066972977182462425]",0.47026585885578154,0.45172413793103444,0.13351592195780107,0.20900670811533928,0.008321487175672717,0.35050118317365486
2,0.1413809061050415,0.07523695432591215,0.9302325581395349,0.13366860866355929,0.14899225277901473,"[0.2256420921285224, 0.07989197704512209, 0.3073667504298373, 0.3842949122585532, 0.12538450270982862, 0.11870199551651905, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.069756042381509, 0.08190640338716325, 0.03342168952402904, 0.0854930999663413, 0.002140181915462814]",0.5422345131448624,0.45172413793103444,0.13367987936341189,0.20483305677771568,0.008198124484513465,0.10930486206610934
3,0.14634540677070618,0.07515683254079877,0.9285714285714286,0.13351573852674053,0.14971953992317227,"[0.2256420921285224, 0.07989197704512209, 0.3073667504298373, 0.3842949122585532, 0.12538450270982862, 0.11870199551651905, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.069756042381509, 0.08190640338716325, 0.03342168952402904, 0.0854930999663413, 0.0]",0.5864896168229815,0.4379310344827586,0.13772066233282734,0.20864460617303848,0.006510292034842103,0.12251911471409123
4,0.14544124901294708,0.07537344886776753,0.9302325581395349,0.1339056912290434,0.14959427260659716,"[0.2256420921285224, 0.07989197704512209, 0.3073667504298373, 0.3842949122585532, 0.12538450270982862, 0.11870199551651905, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.069756042381509, 0.08190640338716325, 0.033936651583710405, 0.0854930999663413, 0.004944375772558714]",0.6119435655603213,0.4655172413793103,0.14153198123051336,0.2165917046368122,0.009829287194687612,0.0718423014126463
5,0.15287545323371887,0.07527944418829394,0.9282430213464696,0.13375213306867256,0.15069022052363873,"[0.2256420921285224, 0.07989197704512209, 0.3073667504298373, 0.3842949122585532, 0.12538450270982862, 0.11870635795663359, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.06977709048391355, 0.08190640338716325, 0.036705802568558474, 0.0854930999663413, 0.0]",0.6243084489461447,0.47931034482758617,0.1503695045650975,0.20551913231611252,0.006534572785515647,0.05743694183771702
6,0.18385405838489532,0.07597875518679112,0.9136270229947483,0.13504231004099945,0.15501295819573377,"[0.2256420921285224, 0.07989197704512209, 0.3073667504298373, 0.3842949122585532, 0.12538450270982862, 0.11939299263557242, 0.036589575422851225, 0.18899598107906249, 0.13242858706358762, 0.06999356815860164, 0.08190640338716325, 0.051897983392645314, 0.08680701486264471, 0.0]",0.6299422983550166,0.4379310344827586,0.14627675429924195,0.2204032614827156,0.005551638194813835,0.03243748695461396
7,0.1705595701932907,0.07560044950395925,0.920168680019219,0.1343501474732056,0.15312550752634863,"[0.2256420921285224, 0.07989197704512209, 0.3073667504298373, 0.3842949122585532, 0.12538450270982862, 0.11951983298538622, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.07006756243832081, 0.08190947242206235, 0.04397098821396192, 0.0854930999663413, 0.0]",0.6341485247274568,0.4655172413793103,0.1493487873763597,0.21838313713669777,0.01058657727808501,0.02563065091867111
8,0.16514019668102264,0.07659192910390546,0.9333912472283904,0.1361450214973491,0.15239816748215787,"[0.2256420921285224, 0.07989197704512209, 0.30748875363852873, 0.3842949122585532, 0.12538450270982862, 0.11988064155165983, 0.036589575422851225, 0.19034977578475337, 0.13249142273158623, 0.07146175286466398, 0.08192175086193974, 0.04081219302243152, 0.08552188552188553, 0.024299065420560748]",0.6384981089162387,0.47931034482758617,0.15501044707061978,0.21994587779045105,0.010932506106346924,0.01789147322653838
9,0.18745116889476776,0.07890665644104998,0.9154501639124272,0.1376864996434543,0.15536216749340062,"[0.2256577351034698, 0.07989497374343586, 0.30832531439758437, 0.3842949122585532, 0.12538450270982862, 0.1234373151398036, 0.036589575422851225, 0.19623485554520037, 0.1325639995617719, 0.0712962962962963, 0.082065156126705, 0.04778112318366278, 0.0861132075471698, 0.027972027972027972]",0.6441564137436641,0.4655172413793103,0.15298885496302086,0.23376276716589928,0.013239491614691196,0.010450019435621823
10,0.18732000887393951,0.08047684910794962,0.9151754486887668,0.13720102346058358,0.15540468035370922,"[0.22640590200445435, 0.07993995121035842, 0.31110663443459574, 0.3842949122585532, 0.12538450270982862, 0.11935196195005945, 0.036589575422851225, 0.1969532507392297, 0.13247644782005405, 0.07123562553060121, 0.08235205314009662, 0.04911804613297151, 0.08637469586374696, 0.019230769230769232]",0.6503626760025343,0.47931034482758617,0.15750972409725977,0.24580728262662888,0.0368525458578729,0.005619506193589506
11,0.19050410389900208,0.084802290829088,0.9143605345401229,0.1378105251757122,0.15562088839727542,"[0.2259722222222222, 0.0800180322326158, 0.31760843269396927, 0.3842949122585532, 0.12540287137415762, 0.11947297900848593, 0.036589575422851225, 0.19652311042691398, 0.1325635779011985, 0.070973193025578, 0.0823467310157605, 0.0496401425976996, 0.0868889407010181, 0.021052631578947368]",0.6519403953691992,0.4655172413793103,0.15735091610911858,0.23664049059152603,0.018646912111979753,0.005010370320182608
12,0.21489964425563812,0.08308893551368927,0.91381317671933,0.1454880265512095,0.15840233571052506,"[0.22600597678782403, 0.08027436496570438, 0.3213847717158975, 0.38430704163115864, 0.1256932966023875, 0.12036547610058144, 0.03659378596087457, 0.21626189840761498, 0.1327867652441256, 0.0715477437628526, 0.08597592674051266, 0.05233844510566873, 0.08836016983097011, 0.0949367088607595]",0.6599195271933688,0.4655172413793103,0.15920605507579746,0.2567655146121979,0.02858735604646056,0.0035049771220052755
13,0.2008349448442459,0.08070281321163796,0.9405546384377227,0.14291575512446117,0.15709786607799853,"[0.22648739027448794, 0.08188939914328715, 0.3318831572405221, 0.3843313026735267, 0.12547639988273235, 0.11924259828806462, 0.03659238234053162, 0.19988521140233403, 0.13445752702150576, 0.07561983471074381, 0.08417770849571317, 0.0469702867523031, 0.0861382005843737, 0.06766917293233082]",0.6671564734168026,0.47931034482758617,0.17172951083640578,0.2909170538187027,0.04833986625519541,0.003469253368958447
14,0.20622920989990234,0.08138184903806896,0.936376962512112,0.14404219716432326,0.15801173987561534,"[0.22644795040573956, 0.08572130342230228, 0.3314736994638458, 0.384319171769459, 0.1254720786125472, 0.1193941193941194, 0.036589575422851225, 0.20077875014456995, 0.13392526822049575, 0.07400249627571769, 0.08488105587607682, 0.048464619492656874, 0.08630293780999619, 0.07881773399014778]",0.676768293993551,0.49310344827586206,0.17571924102370556,0.2696295231580734,0.030293271151856312,0.003017541042792979
15,0.22821646928787231,0.08413644859952044,0.9281042918723251,0.14804530169940686,0.1610781821601257,"[0.22937112488928255, 0.0964957304838785, 0.3484105218432539, 0.3843434343434343, 0.12549537648612946, 0.12082888922748743, 0.03659238234053162, 0.2056541019955654, 0.1346032218460508, 0.07616279069767441, 0.08831341301460824, 0.04586758978797058, 0.08713837574067619, 0.0933572710951526]",0.6885722793610601,0.5206896551724137,0.18018344415023194,0.2957577407360077,0.014975235120499829,0.002769806064656552
16,0.23441162705421448,0.083611916379054,0.9278087757327406,0.1478516516709803,0.16230328124141216,"[0.2269681742043551, 0.1402329014269313, 0.3326808757430767, 0.38457164518574677, 0.125605993829881, 0.12007181865788884, 0.03667670450158289, 0.19280355451963, 0.13376196282747663, 0.08100048956339846, 0.08390084445655135, 0.04401837880764649, 0.0861580319691645, 0.08147174770039421]",0.6972416632885603,0.5482758620689655,0.18955188357698496,0.3020086884498596,0.014853968873016992,0.0024790826036313676
17,0.22873272001743317,0.08293908508550753,0.927198869702506,0.14663997083198446,0.16161138159591087,"[0.2308625240779054, 0.1276073619631902, 0.33015143902964184, 0.38430704163115864, 0.12537554041181212, 0.12009757928316757, 0.036648611271176676, 0.1967799642218247, 0.13333824179060522, 0.07833547833547834, 0.08703050929865079, 0.04237889793020589, 0.08608646403624694, 0.07395993836671803]",0.7016510521028431,0.5620689655172413,0.1946189545858454,0.29869263619184494,0.009085323016910106,0.0024574358855654803
18,0.23558367788791656,0.08238211923137814,0.9437514856722908,0.14617968348841034,0.1629927948518942,"[0.22907986724101406, 0.12975790412180235, 0.32437943885802684, 0.3843313026735267, 0.1254674781843514, 0.12002104313843379, 0.036638512862046356, 0.19866004215597713, 0.13335786568537258, 0.08595744680851064, 0.08980827447023208, 0.04288306119082962, 0.08707326428845416, 0.05910006715916723]",0.7073342502242089,0.5344827586206896,0.20005480851884672,0.3042193874716759,0.0190065869961502,0.00227600756970125
19,0.24794331192970276,0.08454765990408589,0.9390679510587222,0.14938116930891962,0.1647217805548582,"[0.23793065001672428, 0.1289151767710714, 0.3431000112837101, 0.38430704163115864, 0.12541689573025472, 0.1217651343787141, 0.03663934110764731, 0.20231790620922557, 0.13642389122448206, 0.08787056771943422, 0.09289951151430566, 0.04090146003968052, 0.08635709415953337, 0.06649168853893263]",0.7126216827720374,0.5758620689655172,0.20256500268835514,0.3209330663084984,0.018614991754167285,0.002218922566099557
20,0.2617066204547882,0.0853952710497777,0.9235879300791721,0.15075679286639526,0.16713205919667057,"[0.23471508257683474, 0.12625932225565878, 0.3336728754365541, 0.38430704163115864, 0.1260191094551223, 0.1220838314117148, 0.03665123456790124, 0.20702694186229714, 0.13425256681122355, 0.08549575336680587, 0.09950818889366375, 0.046869141357330335, 0.08820769471379418, 0.08552631578947369]",0.7160811973672592,0.5758620689655172,0.20453629974329682,0.32241956889629364,0.03152065116193144,0.002125885302137271
21,0.2703379988670349,0.08612410025842497,0.9332760584761935,0.15172567104271278,0.16810898863535131,"[0.24381761978361668, 0.12923369306997895, 0.35496033304532243, 0.3843676999810594, 0.12584583701088556, 0.12065052950075643, 0.037199811646523306, 0.21006617204732303, 0.1367897673359396, 0.08415613177078528, 0.09767204126202314, 0.04599077789089167, 0.08930641615030982, 0.0641025641025641]",0.7217771307719237,0.5758620689655172,0.21146209166520333,0.3281559646129608,0.01114361920742768,0.0020633166593617427
22,0.2806437313556671,0.08582610946956828,0.9291309290504638,0.15198158734793152,0.17040148040872155,"[0.23156690266752486, 0.14911493596541317, 0.32357678033751136, 0.38440164193242815, 0.12603770800280412, 0.12673300303926058, 0.0367678495083369, 0.2170827419220172, 0.1341729949990739, 0.08844993675197042, 0.10651558073654391, 0.0495171430423229, 0.08775928000309012, 0.06604572396274344]",0.7242282598721205,0.5896551724137931,0.21186497086290118,0.3371131271123886,0.005521463156925269,0.002027059227196782
23,0.2987157702445984,0.08783943007112786,0.9208235187278708,0.15495849655350233,0.17324590983711727,"[0.23858703786858254, 0.13925948133713087, 0.33804579927840367, 0.384280303030303, 0.12680781273296557, 0.12449223416965352, 0.036830270605567185, 0.23170952553422672, 0.1338111423082607, 0.08211170069250832, 0.1148074179743224, 0.05305384893386339, 0.0936943053551727, 0.07192807192807193]",0.7294738669813466,0.5896551724137931,0.21438816638651106,0.3549512103199959,0.008392757158994473,0.0020187525654869758
24,0.31521108746528625,0.09178494405199038,0.9114953178196068,0.16061220044954566,0.17549223842483705,"[0.24230310950532344, 0.15807194754563175, 0.36293249455601256, 0.384319171769459, 0.1263111078166117, 0.12140550807217473, 0.036815035384198926, 0.24697575667802302, 0.1336332460636454, 0.07794298301351293, 0.12646793134598014, 0.05067634444077862, 0.09656469745151611, 0.08415147265077139]",0.7308719849352914,0.5620689655172413,0.2186616701279438,0.3725224882364273,0.014180567064169662,0.0019787018738371145
25,0.3034207224845886,0.08965111081589845,0.9164712984766455,0.15699614586012836,0.1725259315982616,"[0.26501281581838154, 0.14418604651162792, 0.3616014120667522, 0.3843627636731085, 0.1259546209186497, 0.12107878466031939, 0.037156127188281526, 0.21687753142093616, 0.13805798435342845, 0.08420078649086282, 0.12077353441984919, 0.04456151904291516, 0.09096422073984232, 0.06315789473684211]",0.7299315984467097,0.5896551724137931,0.21903108238839136,0.3709978610277176,0.017831027733207154,0.0019451327097273856
