round,global_weight_drift_l2
1,0.35050118317365486
2,0.10930486206610934
3,0.12251911471409123
4,0.0718423014126463
5,0.05743694183771702
6,0.03243748695461396
7,0.02563065091867111
8,0.01789147322653838
9,0.010450019435621823
10,0.005619506193589506
11,0.005010370320182608
12,0.0035049771220052755
13,0.003469253368958447
14,0.003017541042792979
15,0.002769806064656552
16,0.0024790826036313676
17,0.0024574358855654803
18,0.00227600756970125
19,0.002218922566099557
20,0.002125885302137271
21,0.0020633166593617427
22,0.002027059227196782
23,0.0020187525654869758
24,0.0019787018738371145
25,0.0019451327097273856
