round,client,n_train_samples,local_train_loss,local_test_accuracy,local_test_f1,local_test_auc,size_weight,performance_weight,adaptive_weight
1,0,1043,0.29324698422587553,0.7752577319587629,0.72544080604534,0.9540130077978684,0.25,0.25059519428892507,0.25023807771557005
1,1,1043,0.2817226447563135,0.7319587628865979,0.6524064171122995,0.9462321653556713,0.25,0.18800754516589754,0.225203018066359
1,2,1043,0.26546758276815635,0.7690721649484537,0.7157360406091371,0.9535192563081011,0.25,0.24075630678153007,0.24630252271261202
1,3,1043,0.2643751458812306,0.8144329896907216,0.7836538461538461,0.9515442503490313,0.25,0.3206409537636475,0.278256381505459
2,0,1043,0.18776699148459744,0.8618556701030928,0.849438202247191,0.9583886675520141,0.25,0.26751390130957126,0.25700556052382856
2,1,1043,0.1962955412774823,0.843298969072165,0.8264840182648402,0.9564136615929445,0.25,0.23992830512993574,0.24597132205197433
2,2,1043,0.16897763890562623,0.822680412371134,0.7971698113207547,0.9559199101031771,0.25,0.21199685810944996,0.23479874324378
2,3,1043,0.17700847091849978,0.8701030927835052,0.8668076109936576,0.9554431845268498,0.25,0.28056093545104305,0.2622243741804173
3,0,1043,0.1555413883534893,0.8969072164948454,0.8983739837398373,0.9600061293288384,0.25,0.27629445570794114,0.26051778228317646
3,1,1043,0.14994131116096981,0.8783505154639175,0.8742004264392325,0.9592910409643478,0.25,0.24887076394550145,0.24954830557820057
3,2,1043,0.1360909585051864,0.8721649484536083,0.8663793103448276,0.9562774542854224,0.25,0.2402302660657529,0.24609210642630117
3,3,1043,0.152230056877184,0.8680412371134021,0.8590308370044053,0.9579970715428883,0.25,0.23460451428080445,0.24384180571232178
4,0,1043,0.14074797227708552,0.9030927835051547,0.905811623246493,0.9614873837981407,0.25,0.26388566124774054,0.2555542644990963
4,1,1043,0.14086783522356103,0.8865979381443299,0.8846960167714885,0.9616235911056629,0.25,0.2406509153869858,0.24626036615479435
4,2,1043,0.1309326717466514,0.8907216494845361,0.8924949290060852,0.9579970715428883,0.25,0.24629975178104352,0.24851990071241745
4,3,1043,0.1385245302421901,0.8927835051546392,0.8938775510204081,0.9582354343310518,0.25,0.24916367158423003,0.24966546863369204
5,0,1043,0.13514770427363293,0.8969072164948454,0.90234375,0.9608233731739707,0.25,0.2550194959456557,0.25200779837826226
5,1,1043,0.13152421026966954,0.8886597938144329,0.889344262295082,0.9582694861579323,0.25,0.24350812073316572,0.2474032482932663
5,2,1043,0.11977564280440334,0.8989690721649485,0.8997955010224948,0.9607382436067694,0.25,0.2579642625880128,0.2531857050352051
5,3,1043,0.1121760179174936,0.8886597938144329,0.8941176470588236,0.957111724043995,0.25,0.24350812073316572,0.2474032482932663
6,0,1043,0.1254292483768561,0.8948453608247423,0.8994082840236687,0.9613511764906187,0.25,0.2572269971040701,0.2528907988416281
6,1,1043,0.1330971079558589,0.8927835051546392,0.8980392156862745,0.9593421187046685,0.25,0.25427717743382305,0.2517108709735293
6,2,1043,0.09498359910781204,0.8907216494845361,0.8920570264765784,0.9560390914972587,0.25,0.25135448232614194,0.2505417929304568
6,3,1043,0.10471177096514188,0.8804123711340206,0.88671875,0.9541662410188306,0.25,0.23714134313596485,0.24485653725438597
7,0,1043,0.12647387910214827,0.8824742268041237,0.8897485493230174,0.9578268124084857,0.25,0.24338275298118264,0.24735310119247308
7,1,1043,0.13101797394689088,0.8989690721649485,0.9025844930417495,0.9593931964449891,0.25,0.26699516727234046,0.25679806690893625
7,2,1043,0.10124971880044305,0.8824742268041237,0.8897485493230174,0.9560050396703783,0.25,0.24338275298118264,0.24735310119247308
7,3,1043,0.10867020100593311,0.8845360824742268,0.8914728682170543,0.9578097864950454,0.25,0.24623932676529417,0.2484957307061177
8,0,1043,0.12122149246510204,0.8989690721649485,0.9077212806026366,0.9587291858208192,0.25,0.25495412487232016,0.2519816499489281
8,1,1043,0.12272938823092815,0.8927835051546392,0.8976377952755905,0.9561582728913407,0.25,0.24630264642233332,0.24852105856893333
8,2,1043,0.11085601937103988,0.9030927835051547,0.906187624750499,0.9575373718800014,0.25,0.2608555906443769,0.25434223625775076
8,3,1043,0.09844324148779038,0.8865979381443299,0.8923679060665362,0.9566179725542274,0.25,0.23788763806096963,0.24515505522438785
9,0,1043,0.12605499682187293,0.8907216494845361,0.8982725527831094,0.9613171246637382,0.25,0.24700716047946958,0.24880286419178782
9,1,1043,0.1346658351831138,0.8907216494845361,0.8954635108481263,0.9593591446181088,0.25,0.24700716047946958,0.24880286419178782
9,2,1043,0.09464928888154166,0.9030927835051547,0.906187624750499,0.9610957877890149,0.25,0.2646435792350981,0.25585743169403924
9,3,1043,0.10688478130676592,0.8865979381443299,0.8940269749518305,0.9576735791875234,0.25,0.24134209980596275,0.2465368399223851
10,0,1043,0.10991689835618186,0.8969072164948454,0.9015748031496063,0.9590526781761841,0.25,0.2492671954895079,0.24970687819580317
10,1,1043,0.11857933381604358,0.9010309278350516,0.904,0.9601934143766813,0.25,0.2550504108993277,0.25202016435973107
10,2,1043,0.09100164858738088,0.8948453608247423,0.8994082840236687,0.9605339326454864,0.25,0.2464151981216567,0.24856607924866267
10,3,1043,0.10459251251988795,0.8969072164948454,0.9053030303030303,0.9570946981305546,0.25,0.2492671954895079,0.24970687819580317
11,0,1043,0.11754478416530031,0.8969072164948454,0.9042145593869731,0.9611468655293356,0.25,0.2507039054428608,0.2502815621771443
11,1,1043,0.12600965769997022,0.8989690721649485,0.9080675422138836,0.9591378077433855,0.25,0.2535988390051721,0.25143953560206883
11,2,1043,0.09211201626338235,0.8969072164948454,0.9045801526717557,0.9587972894745803,0.25,0.2507039054428608,0.2502815621771443
11,3,1043,0.10095941649309097,0.8927835051546392,0.8984375,0.95944427418531,0.25,0.24499335010910633,0.24799734004364254
12,0,1043,0.10999867883475341,0.8989690721649485,0.9087523277467412,0.9603466475976437,0.25,0.25288012339689464,0.25115204935875785
12,1,1043,0.13889679980627795,0.8969072164948454,0.900398406374502,0.9604317771648448,0.25,0.24999339426463638,0.24999735770585454
12,2,1043,0.08634107414711238,0.8969072164948454,0.9070631970260223,0.9582865120713726,0.25,0.24999339426463638,0.24999735770585454
12,3,1043,0.09730459755741572,0.8948453608247423,0.9035916824196597,0.9551707699118058,0.25,0.2471330880738326,0.24885323522953304
13,0,1043,0.10115378818080142,0.9051546391752577,0.9132075471698113,0.9601082848094801,0.25,0.24926115003144086,0.24970446001257635
13,1,1043,0.10915793738157296,0.9072164948453608,0.9132947976878613,0.9604488030782852,0.25,0.2521130785717644,0.25084523142870574
13,2,1043,0.08446788352039707,0.9092783505154639,0.9157088122605364,0.961691694759424,0.25,0.25499105191887406,0.25199642076754963
13,3,1043,0.09663332161895277,0.9010309278350516,0.9097744360902256,0.95678823168863,0.25,0.24363471947792062,0.24745388779116825
14,0,1043,0.1079256820949221,0.9030927835051547,0.9121495327102803,0.9623216535567133,0.25,0.2557665634669313,0.2523066253867725
14,1,1043,0.10657066176378857,0.8969072164948454,0.9049429657794676,0.9593591446181087,0.25,0.24712660362258376,0.24885064144903352
14,2,1043,0.10005137162773607,0.8989690721649485,0.9090909090909091,0.9567031021214287,0.25,0.24998022928790106,0.24999209171516043
14,3,1043,0.10442056794800149,0.8969072164948454,0.9045801526717557,0.9575033200531208,0.25,0.24712660362258376,0.24885064144903352
15,0,1043,0.10460730831632888,0.9010309278350516,0.9114391143911439,0.9627132495658393,0.25,0.24994110240593395,0.2499764409623736
15,1,1043,0.11465825482968327,0.9072164948453608,0.9112426035502958,0.9625429904314367,0.25,0.2586389202828345,0.2534555681131338
15,2,1043,0.07905425245781209,0.9010309278350516,0.9111111111111111,0.9611809173562161,0.25,0.24994110240593395,0.2499764409623736
15,3,1043,0.09397575909001682,0.8948453608247423,0.9028571428571428,0.9574862941396806,0.25,0.2414788749052976,0.24659154996211904
16,0,1043,0.11397351485584642,0.8989690721649485,0.9090909090909091,0.9633432083631287,0.25,0.24928202938464009,0.24971281175385604
16,1,1043,0.11823961818288614,0.8989690721649485,0.908411214953271,0.9593080668777879,0.25,0.24928202938464009,0.24971281175385604
16,2,1043,0.08290634386397841,0.8989690721649485,0.9073724007561437,0.9620492389416693,0.25,0.24928202938464009,0.24971281175385604
16,3,1043,0.10271687008385397,0.9010309278350516,0.9111111111111111,0.9584737971192154,0.25,0.25215391184607977,0.2508615647384319
17,0,1043,0.10816654329497424,0.9092783505154639,0.916030534351145,0.96210031668199,0.25,0.25789987998549807,0.2531599519941992
17,1,1043,0.10321824132990917,0.9030927835051547,0.9090909090909091,0.9618960057207069,0.25,0.24924631445233986,0.24969852578093593
17,2,1043,0.07531572129925755,0.9030927835051547,0.9128014842300557,0.9615384615384616,0.25,0.24924631445233986,0.24969852578093593
17,3,1043,0.09708812836653603,0.8989690721649485,0.9090909090909091,0.9600231552422787,0.25,0.24360749110982208,0.24744299644392884
18,0,1043,0.11811752721821918,0.9092783505154639,0.9166666666666666,0.9634794156706508,0.25,0.2571648259195391,0.2528659303678157
18,1,1043,0.09516203239513917,0.9051546391752577,0.9138576779026217,0.9628154050464808,0.25,0.2513860771739298,0.25055443086957196
18,2,1043,0.08914967210659444,0.9030927835051547,0.9128014842300557,0.960040181155719,0.25,0.2485359243704454,0.24941436974817818
18,3,1043,0.08943229485374257,0.8989690721649485,0.9070208728652751,0.9602615180304424,0.25,0.24291317253608563,0.24716526901443428
19,0,1043,0.09750367968897726,0.9092783505154639,0.9176029962546817,0.9634794156706508,0.25,0.25499760312931935,0.25199904125172773
19,1,1043,0.09352772981497168,0.9030927835051547,0.9128014842300557,0.9604658289917254,0.25,0.24644142051457013,0.24857656820582805
19,2,1043,0.08093372823178185,0.9072164948453608,0.9112426035502958,0.963292130622808,0.25,0.25211955584154033,0.2508478223366161
19,3,1043,0.10058019370754172,0.9030927835051547,0.9124767225325885,0.9625429904314367,0.25,0.24644142051457013,0.24857656820582805
20,0,1043,0.08787063431112054,0.9010309278350516,0.9114391143911439,0.9634794156706508,0.25,0.25142525393100185,0.2505701015724007
20,1,1043,0.12088063840651245,0.9010309278350516,0.9101123595505618,0.9616065651922225,0.25,0.25142525393100185,0.2505701015724007
20,2,1043,0.08769115111044118,0.9010309278350516,0.9107806691449815,0.9617087206728642,0.25,0.25142525393100185,0.2505701015724007
20,3,1043,0.08336226792583057,0.8969072164948454,0.9080882352941176,0.9611638914427759,0.25,0.2457242382069944,0.24828969528279776
