round,global_accuracy,global_f1,global_auc,global_tn,global_fp,global_fn,global_tp,mean_client_accuracy,std_client_accuracy,global_weight_drift_l2
1,0.7793814432989691,0.731829573934837,0.9520380018387986,232,2,105,146,0.7726804123711339,0.029245480314441834,0.004541076818157392
2,0.8639175257731959,0.8526785714285714,0.9568563353423911,228,6,60,191,0.8494845360824742,0.01826808778007152,0.00042639526275037374
3,0.8762886597938144,0.8717948717948718,0.9589164708686622,221,13,47,204,0.8788659793814433,0.011043446023519877,0.0001921006617634435
4,0.8989690721649485,0.8997955010224948,0.9601253107229203,216,18,31,220,0.8932989690721649,0.0060772299600781515,0.00013708458248310262
5,0.9010309278350516,0.9047619047619048,0.9592569891374672,209,25,23,228,0.8932989690721649,0.00469609978306411,0.00014859403192372679
6,0.8969072164948454,0.9011857707509882,0.9579970715428883,207,27,23,228,0.8896907216494846,0.005551716296014979,0.00010366917401681967
7,0.8907216494845361,0.8966861598440545,0.9579970715428883,202,32,21,230,0.8871134020618556,0.0068964371960101535,0.00023927580564204405
8,0.8865979381443299,0.8923679060665362,0.9575373718800013,202,32,23,228,0.8953608247422681,0.006249667862361945,0.0001606592755003213
9,0.8845360824742268,0.890625,0.960040181155719,201,33,23,228,0.8927835051546392,0.006185567010309284,0.0001809507962806963
10,0.8927835051546392,0.8976377952755905,0.9593250927912282,205,29,23,228,0.8974226804123712,0.002246855125536422,0.00019443629812701858
11,0.8927835051546392,0.9007633587786259,0.959648585146593,197,37,15,236,0.8963917525773196,0.002246855125536422,0.0003176387209551808
12,0.8989690721649485,0.9073724007561437,0.958439745292335,196,38,11,240,0.8969072164948454,0.0014579521261578248,0.0002692453153970069
13,0.8948453608247423,0.9035916824196597,0.9597337147137944,195,39,12,239,0.9056701030927835,0.003049525661391544,0.00011218048599576972
14,0.8948453608247423,0.903954802259887,0.9591037559165049,194,40,11,240,0.8989690721649485,0.002525247157508422,8.679392261813443e-05
15,0.8969072164948454,0.9067164179104478,0.9611809173562162,192,42,8,243,0.9010309278350516,0.0043738563784734745,0.00018664950985251814
16,0.8989690721649485,0.9087523277467412,0.9608744509142916,192,42,7,244,0.8994845360824743,0.0008928096946231295,0.00011071640414482137
17,0.9030927835051547,0.9121495327102803,0.9613171246637382,194,40,7,244,0.9036082474226804,0.0036811486745066107,0.00013677028710414195
18,0.9010309278350516,0.9104477611940298,0.9618279020669459,193,41,7,244,0.9041237113402062,0.0037170631705814193,0.0001376480500342538
19,0.9030927835051547,0.9118198874296435,0.9625429904314367,195,39,8,243,0.9056701030927835,0.0026784290838693884,0.00010964044495965613
20,0.9030927835051547,0.9131238447319778,0.9622365239895121,191,43,4,247,0.9,0.001785619389246259,0.00020951096811863088
