round,global_accuracy,global_precision,global_recall,global_f1,global_auc,global_specificity,global_sensitivity,global_balanced_accuracy,global_tn,global_fp,global_fn,global_tp,mean_client_accuracy,std_client_accuracy,global_weight_drift_l2
1,0.7958762886597938,0.7585034013605442,0.8884462151394422,0.818348623853211,0.8990533592127217,0.6965811965811965,0.8884462151394422,0.7925137058603193,163,71,28,223,0.7927835051546392,0.039807700157335736,0.033751460216264705
2,0.845360824742268,0.8358778625954199,0.8725099601593626,0.8538011695906432,0.916351687268022,0.8162393162393162,0.8725099601593626,0.8443746381993393,191,43,32,219,0.8015463917525774,0.03073392821806979,0.02127707568096703
3,0.8721649484536083,0.8513011152416357,0.9123505976095617,0.8807692307692307,0.9260394320155276,0.8290598290598291,0.9123505976095617,0.8707052133346954,194,40,22,229,0.8350515463917525,0.02660512969188441,0.014853972170808553
4,0.8762886597938144,0.8745098039215686,0.8884462151394422,0.8814229249011858,0.9302788844621515,0.8632478632478633,0.8884462151394422,0.8758470391936528,202,32,28,223,0.8603092783505155,0.006077229960078163,0.01584688535137684
5,0.8329896907216495,0.7741935483870968,0.9561752988047809,0.8556149732620321,0.9365954983484864,0.7008547008547008,0.9561752988047809,0.8285149998297409,164,70,11,240,0.8087628865979382,0.06801584968423667,0.01290716611111961
6,0.8412371134020619,0.7843137254901961,0.9561752988047809,0.8617594254937163,0.9363230837334423,0.717948717948718,0.9561752988047809,0.8370620083767495,168,66,11,240,0.8335051546391752,0.033001769695895085,0.011330683953192738
7,0.8783505154639175,0.8692307692307693,0.900398406374502,0.8845401174168297,0.9345864405625361,0.8547008547008547,0.900398406374502,0.8775496305376783,200,34,25,226,0.8278350515463918,0.05428791977600657,0.012068810455544319
8,0.8824742268041237,0.8619402985074627,0.9203187250996016,0.8901734104046243,0.9391153335376443,0.8418803418803419,0.9203187250996016,0.8810995334899717,197,37,20,231,0.8288659793814432,0.044005043237965044,0.010960761924455602
9,0.8515463917525773,0.8054607508532423,0.9402390438247012,0.8676470588235294,0.9395409813736507,0.7564102564102564,0.9402390438247012,0.8483246501174788,177,57,15,236,0.7922680412371135,0.06333916920865075,0.010078620679137413
10,0.8762886597938144,0.8281786941580757,0.9601593625498008,0.8892988929889298,0.9440698743487589,0.7863247863247863,0.9601593625498008,0.8732420744372935,184,50,10,241,0.7871134020618558,0.10636432756093389,0.010091029490443526
11,0.8412371134020619,0.7788461538461539,0.9681274900398407,0.8632326820603907,0.9467088909319985,0.7051282051282052,0.9681274900398407,0.836627847584023,165,69,8,243,0.7953608247422681,0.07881542750176583,0.010080466886237066
12,0.822680412371134,0.7538461538461538,0.9760956175298805,0.8506944444444444,0.9424524125719345,0.6581196581196581,0.9760956175298805,0.8171076378247693,154,80,6,245,0.8118556701030928,0.03715275691194311,0.010442057834391689
13,0.8020618556701031,0.7286135693215339,0.9840637450199203,0.8372881355932204,0.9433888378111487,0.6068376068376068,0.9840637450199203,0.7954506759287636,142,92,4,247,0.7835051546391754,0.05027292923808914,0.009534696076174963
14,0.8845360824742268,0.8469750889679716,0.9482071713147411,0.8947368421052632,0.9487349746313889,0.8162393162393162,0.9482071713147411,0.8822232437770287,191,43,13,238,0.8458762886597938,0.06156935453792414,0.008760429433930867
15,0.7835051546391752,0.7109826589595376,0.9800796812749004,0.8241206030150754,0.9475942384308919,0.5726495726495726,0.9800796812749004,0.7763646269622365,134,100,5,246,0.7438144329896907,0.07868046370138163,0.0086690258706472
16,0.845360824742268,0.782051282051282,0.9721115537848606,0.866785079928952,0.9512718357339872,0.7094017094017094,0.9721115537848606,0.8407566315932851,166,68,7,244,0.8005154639175258,0.060013372230059175,0.009182866865371595
17,0.8762886597938144,0.8350877192982457,0.9482071713147411,0.8880597014925373,0.9478155753056152,0.7991452991452992,0.9482071713147411,0.8736762352300201,187,47,13,238,0.8556701030927835,0.026605129691884406,0.008867088352916651
18,0.8329896907216495,0.7672955974842768,0.9721115537848606,0.8576449912126538,0.9488201041985903,0.6837606837606838,0.9721115537848606,0.8279361187727722,160,74,7,244,0.8190721649484536,0.04702601925961495,0.008381465916560298
19,0.8824742268041237,0.8975409836065574,0.8725099601593626,0.8848484848484849,0.9514250689549496,0.8931623931623932,0.8725099601593626,0.8828361766608779,209,25,32,219,0.8798969072164948,0.02361589935867075,0.010354900152764551
20,0.845360824742268,0.7802547770700637,0.9760956175298805,0.8672566371681416,0.9520209759253585,0.7051282051282052,0.9760956175298805,0.8406119113290429,165,69,6,245,0.827319587628866,0.049749612192202294,0.0073708495286087606
