round,global_accuracy,global_precision,global_recall,global_f1,global_f1_micro,global_f1_per_class,global_auc,mean_client_accuracy,std_client_accuracy,global_weight_drift_l2
1,0.075396828353405,0.07539682539682538,1.0,0.13399411693518667,0.14022140221402213,"[0.2256420921285224, 0.07989197704512209, 0.3073667504298373, 0.3842949122585532, 0.12538450270982862, 0.11870199551651905, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.069756042381509, 0.08190640338716325, 0.03342168952402904, 0.0854930999663413, 0.0066972977182462425]",0.5291114622349353,0.16746074333786964,0.01879189084598948,0.41223071426103153
2,0.14633424580097198,0.07515683254079877,0.9285714285714286,0.13351573852674053,0.14971787530922534,"[0.2256420921285224, 0.07989197704512209, 0.3073667504298373, 0.3842949122585532, 0.12538450270982862, 0.11870199551651905, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.069756042381509, 0.08190640338716325, 0.03342168952402904, 0.0854930999663413, 0.0]",0.5586095823443614,0.18548940122127533,0.015814459516301428,0.1231391993990809
3,0.14526265859603882,0.0759362629354594,0.9377076411960132,0.13495921116882245,0.1496101905734974,"[0.2256420921285224, 0.07989197704512209, 0.3073667504298373, 0.3842949122585532, 0.12538450270982862, 0.11870199551651905, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.069756042381509, 0.08190640338716325, 0.034264109330077584, 0.0854930999663413, 0.01936619718309859]",0.6155972643801719,0.19682878628373146,0.010814481301968699,0.14907793010836506
4,0.1063726469874382,0.07553874320142838,0.9925249169435216,0.1342748338105335,0.14433898739859558,"[0.2256420921285224, 0.07989197704512209, 0.3073667504298373, 0.3842949122585532, 0.12538450270982862, 0.11870199551651905, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.069756042381509, 0.08190640338716325, 0.03354281528318618, 0.0854930999663413, 0.010506208213944603]",0.6263814842752051,0.17632260918617249,0.004722642410159885,0.062300525740323597
5,0.11939086765050888,0.07563029003327283,0.9823939359224043,0.1344534011300216,0.14610082992155388,"[0.2256420921285224, 0.07989197704512209, 0.3073667504298373, 0.3842949122585532, 0.12538450270982862, 0.11870199551651905, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.069756042381509, 0.08190640338716325, 0.03416919261504547, 0.0854930999663413, 0.012379773354918579]",0.6268605342065499,0.1829356625676155,0.012310487110856852,0.07410413282319814
6,0.1267106533050537,0.07577950367105042,0.9845667697712607,0.13474220226199876,0.14713128604288628,"[0.2256420921285224, 0.07989197704512209, 0.3073667504298373, 0.3842949122585532, 0.12538450270982862, 0.11871072071740968, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.06995386825985025, 0.08190640338716325, 0.03668700060142624, 0.0854930999663413, 0.0136986301369863]",0.6356143453076386,0.18282131105661392,0.011200320565707852,0.056984887339097685
7,0.11935458332300186,0.07569910278063219,0.9900427693130179,0.13458694720774583,0.1461234164371256,"[0.2256420921285224, 0.07989197704512209, 0.3073667504298373, 0.3842949122585532, 0.12538450270982862, 0.11871072071740968, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.06978498679743493, 0.08190640338716325, 0.0357885975863504, 0.0854930999663413, 0.012592343854936199]",0.6380996605273495,0.1719774343073368,0.01099130531032374,0.02454841221806966
8,0.13240070641040802,0.07588264320517946,0.9821620589543605,0.13494138024350177,0.1479394539011563,"[0.2256420921285224, 0.07989197704512209, 0.3073769136659723, 0.3842949122585532, 0.12538450270982862, 0.11872817496783679, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.07033837018992882, 0.08190640338716325, 0.0373179876187985, 0.0854930999663413, 0.015444015444015444]",0.6433314528067401,0.1821352317929268,0.016012474327837502,0.02492575280681728
9,0.13175608217716217,0.07589001860448984,0.9851984494468872,0.13495390546021052,0.14783651870963502,"[0.2256420921285224, 0.07989197704512209, 0.3073769136659723, 0.3842949122585532, 0.12538450270982862, 0.1188118811881188, 0.036589575422851225, 0.18834271154050325, 0.1324334184604159, 0.07033150851581509, 0.08190640338716325, 0.03802384393063584, 0.0854930999663413, 0.014831836223104241]",0.6441985225144291,0.18558469414710999,0.0109942739978447,0.009650215410837706
10,0.14499475061893463,0.0761193427867717,0.9708799630095569,0.13539538768919995,0.14967417489092907,"[0.2256420921285224, 0.07989197704512209, 0.30746841304491634, 0.3842949122585532, 0.12538450270982862, 0.11865528909813153, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.06997768279305519, 0.08190947242206235, 0.03857235802583883, 0.0854930999663413, 0.020884754129485476]",0.6472399267548784,0.18987268954515457,0.011635102185111178,0.00896672420232916
11,0.15433214604854584,0.07640360974988747,0.9692885392877448,0.13593774126051555,0.15098198526321688,"[0.22564991334488735, 0.07989197704512209, 0.3074785830053253, 0.3842949122585532, 0.12538450270982862, 0.11875783727963414, 0.036589575422851225, 0.18834271154050325, 0.1324334184604159, 0.07018741937931558, 0.08190947242206235, 0.041682016735961266, 0.0854930999663413, 0.025032938076416336]",0.648788300024549,0.2007928043603897,0.009126588484009525,0.006771112849246406
12,0.15782320499420166,0.07671010347835852,0.9742059742736479,0.1363917120892896,0.1514509929622413,"[0.2256420921285224, 0.07989197704512209, 0.3120290635091496, 0.3842949122585532, 0.12538450270982862, 0.11888782358581017, 0.036589575422851225, 0.18835604317819854, 0.13284024751931456, 0.07393136664659844, 0.08191254168696369, 0.04200270635994587, 0.08550269299820466, 0.022218424200991283]",0.6552432164653171,0.2002401277422905,0.007924255462634094,0.004652405293146413
13,0.1454300880432129,0.07633638965166789,0.9816205574684407,0.1357219792228626,0.14969178652746154,"[0.2256577351034698, 0.07989497374343586, 0.31031486061902536, 0.3842949122585532, 0.12538450270982862, 0.1189648798521257, 0.036589575422851225, 0.1884294009347118, 0.13267058952523664, 0.07318817546090273, 0.08193403298350825, 0.03925006087168249, 0.0854930999663413, 0.018040909668402997]",0.6592450655171255,0.20147888362407684,0.0040621286117100116,0.00384290779240093
14,0.15589210391044617,0.0773736668110585,0.9805201185038526,0.1373573683099971,0.15116641270215436,"[0.22568902756110246, 0.08005111244738425, 0.3217373117679866, 0.38430704163115864, 0.12538450270982862, 0.11901156133417058, 0.036589575422851225, 0.19028180613742973, 0.13322072485587338, 0.07731828518487324, 0.08256082333799993, 0.03779837878991446, 0.08544067035762382, 0.023612334801762114]",0.6642112349785947,0.1989632546901703,0.011082786741137295,0.003489889281675424
15,0.15504096448421478,0.07750963992765611,0.9830786657852848,0.13747612419573016,0.1509704844851469,"[0.2256577351034698, 0.08009937140060978, 0.32734658969424846, 0.3842949122585532, 0.12538450270982862, 0.11876309887119903, 0.036589575422851225, 0.1886765696458326, 0.13367230389447698, 0.07380428256954172, 0.0826659581736061, 0.03904677185261482, 0.08543108285019638, 0.023232984293193717]",0.6720857017873838,0.20342277735471725,0.020208407407500118,0.00329925191416341
16,0.16344350576400757,0.077644918423756,0.9760906930263408,0.13780520736944463,0.1521984439649199,"[0.22591615769017212, 0.08318931657501964, 0.324084819073742, 0.3842949122585532, 0.12538450270982862, 0.11889940697631589, 0.036589575422851225, 0.1900539844839298, 0.1332354560469811, 0.07293969055888853, 0.08365488501311931, 0.0398765492578259, 0.08548224110183765, 0.025671406003159557]",0.6845395458982725,0.2209368795156479,0.013832264880433078,0.002997238342515221
17,0.1763780117034912,0.07880019177741085,0.9739942637402812,0.13954425089183092,0.15387085306698164,"[0.22621571830790085, 0.08644465483884246, 0.33830513505491244, 0.3842949122585532, 0.12538450270982862, 0.11874563435167824, 0.036589575422851225, 0.1896643960198295, 0.1331521739130435, 0.07483545949459657, 0.0862723169708831, 0.03943745082612116, 0.08551941238195174, 0.02875816993464052]",0.6900367236017725,0.23848909884691238,0.015416560481466722,0.0027701465597089613
18,0.1779463291168213,0.07858532528839683,0.9760153458491267,0.13931295112439998,0.15418231517532072,"[0.2258859463399396, 0.08712543914031824, 0.32819926383875925, 0.3842949122585532, 0.12539368636929613, 0.11928886909401329, 0.036589575422851225, 0.1985161870503597, 0.13383036834723555, 0.07681044220390745, 0.08744148178302463, 0.04068174901085523, 0.08545856270830993, 0.02086483217417599]",0.6943712073474867,0.2349252961575985,0.021339910162899815,0.0026626643573575506
19,0.19473187625408173,0.08034123117446568,0.9738268990890896,0.14190741762740477,0.15636940906127483,"[0.2280695591076761, 0.08854497018901433, 0.3497513983840895, 0.3842949122585532, 0.12538450270982862, 0.1190493763377371, 0.036589575422851225, 0.19614944015372676, 0.13396881696593513, 0.0764373546028581, 0.09435559317503453, 0.040742051256129, 0.08564988730277986, 0.027716408917453302]",0.6997536269539314,0.2411571890115738,0.007011712534686994,0.002404473602440082
20,0.19725459814071655,0.07996029735752354,0.9660103015739622,0.1416216596530284,0.15705063398710048,"[0.22685233657906675, 0.10727477115786092, 0.33786422072420524, 0.3842949122585532, 0.12538450270982862, 0.11885351728208345, 0.036589575422851225, 0.19329934450109248, 0.13355924711775757, 0.07862365591397849, 0.08683394417817875, 0.038955499739348844, 0.08549504023956579, 0.02882266731802638]",0.7070000987540757,0.2604055516421795,0.019345222048607415,0.0024624869939069826
