round,client,n_train_samples,local_train_loss,local_test_accuracy,local_test_precision,local_test_recall,local_test_f1,local_test_f1_micro,local_test_f1_per_class,local_test_auc,size_weight,performance_weight,adaptive_weight
1,0,3744,1.1302667744648762,0.20407074689865112,0.12433268078451395,0.9258928571428572,0.21357486342283402,0.2366015939167946,"[0.35758106923751093, 0.15732546705998032, 0.3886500429922614, 0.4331103678929766, 0.22537878787878787, 0.2469597754911132, 0.09164969450101833, 0.22537878787878787, 0.2464722483537159, 0.17342342342342343, 0.126, 0.11658291457286432, 0.20153550863723607, 0.0]",0.5842395201271439,0.25,0.2529360899403687,0.25117443597614747
1,1,3744,1.1071508613407102,0.23174265027046204,0.12280511080252345,0.912161336994485,0.21050952267189668,0.23720859824402057,"[0.3546971027216857, 0.14638971315529178, 0.411864406779661, 0.4172297297297297, 0.22369668246445498, 0.27146814404432135, 0.0720164609053498, 0.23898139079333985, 0.21455938697318008, 0.14030612244897958, 0.12036108324974924, 0.12430939226519337, 0.21125370187561698, 0.0]",0.5967831127277762,0.25,0.2639137328479793,0.25556549313919175
1,2,3744,1.1202851433529812,0.20597651600837708,0.1258652555706005,0.9267857142857142,0.21593743939379134,0.23948598130841123,"[0.3267857142857143, 0.1627450980392157, 0.4064625850340136, 0.44867549668874174, 0.2632066728452271, 0.2387218045112782, 0.09164969450101833, 0.21863117870722434, 0.23040604343720492, 0.1664887940234792, 0.15369458128078817, 0.1368421052631579, 0.17881438289601556, 0.0]",0.5915178323819946,0.25,0.2592773757213744,0.25371095028854973
1,3,3744,1.1303907140707359,0.1960664689540863,0.12391129074401155,0.9279503105590062,0.21224665281223049,0.23546469479483834,"[0.35758106923751093, 0.14271555996035679, 0.39692044482463645, 0.44739022369511183, 0.25512104283054005, 0.22873345935727787, 0.0720164609053498, 0.23540489642184556, 0.21734985700667303, 0.13869346733668342, 0.14285714285714285, 0.1282565130260521, 0.2084130019120459, 0.0]",0.5496499560390182,0.25,0.22387280149027772,0.23954912059611108
2,0,3744,1.1173201574219598,0.20590029656887054,0.12443226662372633,0.9285714285714286,0.21384642965684658,0.23735266124899335,"[0.35758106923751093, 0.15732546705998032, 0.3886500429922614, 0.4331103678929766, 0.22537878787878787, 0.24719101123595505, 0.09164969450101833, 0.22537878787878787, 0.24531835205992508, 0.16016016016016016, 0.126, 0.1345707656612529, 0.20153550863723607, 0.0]",0.6035559011793115,0.25,0.251715674682086,0.2506862698728344
2,1,3744,1.09820499481299,0.19789601862430573,0.12073349241490659,0.9243909386414665,0.2071125995926157,0.23073548764439245,"[0.3546971027216857, 0.14638971315529178, 0.411864406779661, 0.4172297297297297, 0.22369668246445498, 0.2696214219759926, 0.0720164609053498, 0.23374175306314798, 0.2139446036294174, 0.1186623516720604, 0.12048192771084337, 0.10710607621009269, 0.21012416427889208, 0.0]",0.606748484829249,0.25,0.25438568015609314,0.2517542720624373
2,2,3744,1.1125195023850498,0.21893581748008728,0.12694314094891562,0.9230769230769231,0.21772307598081822,0.24215976331360947,"[0.3267857142857143, 0.1627450980392157, 0.4064625850340136, 0.44867549668874174, 0.2632066728452271, 0.2387218045112782, 0.09164969450101833, 0.21863117870722434, 0.23040604343720492, 0.16096579476861167, 0.15369458128078817, 0.16736401673640167, 0.17881438289601556, 0.0]",0.6205915096849676,0.25,0.2661257625439638,0.25645030501758553
2,3,3744,1.115374628193358,0.19858209788799286,0.12437573991719822,0.9274553571428571,0.21305076132981676,0.23602935833151661,"[0.35758106923751093, 0.14271555996035679, 0.39692044482463645, 0.44739022369511183, 0.25512104283054005, 0.22894985808893092, 0.0720164609053498, 0.23540489642184556, 0.21863117870722434, 0.13869346733668342, 0.14271555996035679, 0.13815789473684212, 0.2084130019120459, 0.0]",0.5741341493188867,0.25,0.22777288261785705,0.2411091530471428
3,0,3744,1.1111897089033045,0.19743862748146057,0.12381867406250632,0.9285714285714286,0.21276790730712755,0.235439360929557,"[0.35758106923751093, 0.15732546705998032, 0.3886500429922614, 0.4331103678929766, 0.22537878787878787, 0.2469597754911132, 0.09164969450101833, 0.22537878787878787, 0.24531835205992508, 0.16161616161616163, 0.126, 0.11824668705402651, 0.20153550863723607, 0.0]",0.6010404355267607,0.25,0.24541742814875553,0.2481669712595022
3,1,3744,1.091528243590624,0.2116176187992096,0.12189745714171392,0.9230075650950036,0.2090995575827878,0.23369887374036752,"[0.3546971027216857, 0.14638971315529178, 0.411864406779661, 0.4172297297297297, 0.22369668246445498, 0.27121771217712176, 0.0720164609053498, 0.23374175306314798, 0.21244019138755982, 0.14835164835164835, 0.12036108324974924, 0.10526315789473684, 0.21012416427889208, 0.0]",0.5964438001584611,0.25,0.24167797687366618,0.24667119074946647
