round,global_accuracy,global_precision,global_recall,global_f1,global_auc,global_specificity,global_sensitivity,global_balanced_accuracy,global_tn,global_fp,global_fn,global_tp,mean_client_accuracy,std_client_accuracy,global_weight_drift_l2
1,0.03168463822472261,0.018844022169437848,0.9979035639412998,0.036989548121381666,0.5893864700879161,0.013336518173494167,0.9979035639412998,0.505620041057397,335,24784,1,476,0.7279870580078576,0.1516071624820375,0.04404796542018859
2,0.76699484294421,0.028689228654870298,0.350104821802935,0.05303270879644331,0.6153678719901237,0.7749114216330268,0.350104821802935,0.5625081217179809,19465,5654,310,167,0.6241622371157847,0.277941909365302,0.04284094783952607
3,0.6160337552742616,0.0272975432211101,0.5660377358490566,0.052083333333333336,0.624271236211232,0.6169831601576495,0.5660377358490566,0.5915104480033531,15498,9621,207,270,0.5851629304367922,0.3557401196008907,0.02458816755406082
4,0.5476246288482576,0.025717703349282296,0.6310272536687631,0.04942122978408998,0.6262056760762167,0.5460408455750627,0.6310272536687631,0.5885340496219129,13716,11403,176,301,0.6231222556043449,0.1737147245806824,0.019397640764376826
5,0.9643303641193937,0.04201680672268908,0.041928721174004195,0.04197271773347324,0.635715253256136,0.9818464110832438,0.041928721174004195,0.511887566128624,24663,456,457,20,0.8134966489484632,0.17693101426085053,0.01619389906721636
6,0.8572823878731052,0.0343108504398827,0.24528301886792453,0.06020066889632107,0.6202932323064645,0.8689040168796529,0.24528301886792453,0.5570935178737887,21826,3293,360,117,0.842673908019413,0.11698128485651527,0.014260981398160223
7,0.9277230817315205,0.03646185010128292,0.11320754716981132,0.05515832482124617,0.6022301559461659,0.9431904136311159,0.11320754716981132,0.5281989804004636,23692,1427,423,54,0.9016639704183036,0.06572841203535619,0.012639201951793562
8,0.8531411157993436,0.03512747875354107,0.259958071278826,0.061891689543299225,0.6220458124568146,0.8644054301524742,0.259958071278826,0.5621817507156501,21713,3406,353,124,0.8976195978738155,0.10466404692280175,0.011446623528671969
9,0.8573605250820441,0.032134433962264154,0.22851153039832284,0.05634530886533988,0.6088161233033902,0.8693021218997572,0.22851153039832284,0.54890682614904,21836,3283,368,109,0.8914374855558123,0.12833311452314816,0.01114281641345934
10,0.9593686513517737,0.03471074380165289,0.0440251572327044,0.038817005545286505,0.6137080578208733,0.9767506668259087,0.0440251572327044,0.5103879120293066,24535,584,456,21,0.963369540097065,0.030893439810685482,0.010999067012048619
11,0.9226832317549617,0.031210986267166042,0.10482180293501048,0.0481000481000481,0.5916638477993597,0.938214100879812,0.10482180293501048,0.5215179519074112,23567,1552,427,50,0.9370233418072568,0.03282227994850962,0.011009202821703739
12,0.9525316455696202,0.031725888324873094,0.05241090146750524,0.039525691699604744,0.5938980348718298,0.9696245869660416,0.05241090146750524,0.5110177442167734,24356,763,452,25,0.9688005546568061,0.011235461298758244,0.010755660341104024
13,0.9696436943272386,0.03125,0.020964360587002098,0.025094102885821833,0.5986436219778342,0.9876587443767666,0.020964360587002098,0.5043115524818843,24809,310,467,10,0.9337878437716662,0.03560154429548241,0.010696814822332808
14,0.9090482887951242,0.029964448958862366,0.12368972746331237,0.0482420278004906,0.5928887927427708,0.923961941160078,0.12368972746331237,0.5238258343116952,23209,1910,418,59,0.9063438872197828,0.05223769173407011,0.01081843694544132
15,0.9437021409595249,0.02465483234714004,0.05241090146750524,0.0335345405767941,0.5796041450661309,0.9606274135116843,0.05241090146750524,0.5065191574895948,24130,989,452,25,0.9269124104460364,0.04547947856364363,0.010874412576970634
16,0.9577277699640568,0.022116903633491312,0.029350104821802937,0.025225225225225224,0.5883031570562696,0.9753572992555436,0.029350104821802937,0.5023537020386732,24500,619,463,14,0.9181881211000693,0.09966327038530362,0.010889358797570277
17,0.9674558524769495,0.021505376344086023,0.016771488469601678,0.01884570082449941,0.5865294614824212,0.9855089772682033,0.016771488469601678,0.5011402328689025,24755,364,469,8,0.9701294199214237,0.010422099484686722,0.01072876003589553
18,0.9748788873261447,0.028409090909090908,0.010482180293501049,0.015313935681470138,0.5995908114690633,0.9931924041562165,0.010482180293501049,0.5018372922248587,24948,171,472,5,0.971978275941761,0.025620780695913,0.010949945515033428
19,0.9629238943584935,0.022267206477732792,0.023060796645702306,0.02265705458290422,0.5977319030596749,0.9807715275289621,0.023060796645702306,0.5019161620873323,24636,483,466,11,0.968569447654264,0.015724619634380557,0.010622944337081325
20,0.9769885919674949,0.017241379310344827,0.0041928721174004195,0.006745362563237774,0.5931175988041159,0.995461602770811,0.0041928721174004195,0.4998272374441057,25005,114,475,2,0.9882713196209845,0.003670074523493696,0.010822500747389335
