round,bytes_sent_to_clients,bytes_received_from_clients,total_bytes,total_mb,model_size_bytes,num_clients
1,205603872,205603872,411207744,392.15826416015625,51400968,4
2,205603872,205603872,411207744,392.15826416015625,51400968,4
3,205603872,205603872,411207744,392.15826416015625,51400968,4
4,205603872,205603872,411207744,392.15826416015625,51400968,4
5,205603872,205603872,411207744,392.15826416015625,51400968,4
6,205603872,205603872,411207744,392.15826416015625,51400968,4
7,205603872,205603872,411207744,392.15826416015625,51400968,4
8,205603872,205603872,411207744,392.15826416015625,51400968,4
9,205603872,205603872,411207744,392.15826416015625,51400968,4
10,205603872,205603872,411207744,392.15826416015625,51400968,4
11,205603872,205603872,411207744,392.15826416015625,51400968,4
12,205603872,205603872,411207744,392.15826416015625,51400968,4
13,205603872,205603872,411207744,392.15826416015625,51400968,4
14,205603872,205603872,411207744,392.15826416015625,51400968,4
15,205603872,205603872,411207744,392.15826416015625,51400968,4
1,205603872,205603872,411207744,392.15826416015625,51400968,4
2,205603872,205603872,411207744,392.15826416015625,51400968,4
3,205603872,205603872,411207744,392.15826416015625,51400968,4
4,205603872,205603872,411207744,392.15826416015625,51400968,4
5,205603872,205603872,411207744,392.15826416015625,51400968,4
6,205603872,205603872,411207744,392.15826416015625,51400968,4
7,205603872,205603872,411207744,392.15826416015625,51400968,4
8,205603872,205603872,411207744,392.15826416015625,51400968,4
9,205603872,205603872,411207744,392.15826416015625,51400968,4
10,205603872,205603872,411207744,392.15826416015625,51400968,4
11,205603872,205603872,411207744,392.15826416015625,51400968,4
12,205603872,205603872,411207744,392.15826416015625,51400968,4
13,205603872,205603872,411207744,392.15826416015625,51400968,4
14,205603872,205603872,411207744,392.15826416015625,51400968,4
15,205603872,205603872,411207744,392.15826416015625,51400968,4
16,205603872,205603872,411207744,392.15826416015625,51400968,4
17,205603872,205603872,411207744,392.15826416015625,51400968,4
18,205603872,205603872,411207744,392.15826416015625,51400968,4
19,205603872,205603872,411207744,392.15826416015625,51400968,4
20,205603872,205603872,411207744,392.15826416015625,51400968,4
21,205603872,205603872,411207744,392.15826416015625,51400968,4
22,205603872,205603872,411207744,392.15826416015625,51400968,4
23,205603872,205603872,411207744,392.15826416015625,51400968,4
24,205603872,205603872,411207744,392.15826416015625,51400968,4
25,205603872,205603872,411207744,392.15826416015625,51400968,4
26,205603872,205603872,411207744,392.15826416015625,51400968,4
27,205603872,205603872,411207744,392.15826416015625,51400968,4
28,205603872,205603872,411207744,392.15826416015625,51400968,4
29,205603872,205603872,411207744,392.15826416015625,51400968,4
30,205603872,205603872,411207744,392.15826416015625,51400968,4
